date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:47:47	135/135	---MCZ	200	added ('OK')	text/plain	etag:W/%22e036583c721351fb350cc27cd785ad2c%22	https://smartmatertech.weebly.com/robots.txt		(from )
02:47:47	184670/184670	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202026%2018:45:22%20GMT	https://smartmatertech.weebly.com/	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/index.html	(from )
02:47:47	23467/23467	---M--	200	added ('OK')	image/jpeg	etag:%2234fc2c82aa9c82c9e93fe4a699278c6c%22	https://smartmatertech.weebly.com/uploads/1/3/2/8/132868807/drawing1sadedrfr.jpg	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/uploads/1/3/2/8/132868807/drawing1sadedrfr.jpg	(from https://smartmatertech.weebly.com/)
02:47:48	52484/52484	---M--	200	added ('OK')	image/jpeg	etag:%2232c6f77dabfdf162985fc1b972188e1f%22	https://smartmatertech.weebly.com/uploads/1/3/2/8/132868807/2385457c-cea2-4fb1-801d-b2e2f5211cd3-origasedrf.jpg	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/uploads/1/3/2/8/132868807/2385457c-cea2-4fb1-801d-b2e2f5211cd3-origasedrf.jpg	(from https://smartmatertech.weebly.com/)
02:47:48	44154/44154	---M--	200	added ('OK')	image/jpeg	etag:%226c98c441c16abcf4c9b33018e8e4eaa8%22	https://smartmatertech.weebly.com/uploads/1/3/2/8/132868807/beab7564412bf7d713b5fe89ada1a01.jpg	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/uploads/1/3/2/8/132868807/beab7564412bf7d713b5fe89ada1a01.jpg	(from https://smartmatertech.weebly.com/)
02:47:48	13015/13015	---M--	200	added ('OK')	image/jpeg	etag:%225821b6ab12468e1ae0e820aca5ff6343%22	https://smartmatertech.weebly.com/uploads/1/3/2/8/132868807/e128089e12cf3f04b28774bc305f118.jpg	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/uploads/1/3/2/8/132868807/e128089e12cf3f04b28774bc305f118.jpg	(from https://smartmatertech.weebly.com/)
02:47:48	24058/24058	---M--	200	added ('OK')	image/jpeg	etag:%22be1f46d2367e58be8f812447ee181849%22	https://smartmatertech.weebly.com/uploads/1/3/2/8/132868807/0130391f4550f668631350085f5f1331703775-5336-3ce0-4024-010ebf6df163-orig.jpg	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/uploads/1/3/2/8/132868807/0130391f4550f668631350085f5f1331703775-5336-3ce0-4024-010ebf6df163-orig.jpg	(from https://smartmatertech.weebly.com/)
02:47:49	55325/55325	---M--	200	added ('OK')	image/jpeg	etag:%229e24c13101d31c1eeae0cc20bbd6909c%22	https://smartmatertech.weebly.com/uploads/1/3/2/8/132868807/6a809f6275accbc7d2b95a411c1fff5-orig112.jpg	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/uploads/1/3/2/8/132868807/6a809f6275accbc7d2b95a411c1fff5-orig112.jpg	(from https://smartmatertech.weebly.com/)
02:47:49	30355/30355	---M--	200	added ('OK')	image/jpeg	etag:%22b686a94f14e7dd4ad4c07b211e58a2e4%22	https://smartmatertech.weebly.com/uploads/1/3/2/8/132868807/750d07a99e3b715ba511450c226ceb88-orig.jpg	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/uploads/1/3/2/8/132868807/750d07a99e3b715ba511450c226ceb88-orig.jpg	(from https://smartmatertech.weebly.com/)
02:47:49	36848/36848	---M--	200	added ('OK')	image/jpeg	etag:%221bfb20b440fb768b6105c79689474e3c%22	https://smartmatertech.weebly.com/uploads/1/3/2/8/132868807/f0f1126bd3a7d6652fa1f9204f44007-orig.jpg	C:/My%20Web%20Sites/my_weebly_backup/smartmatertech.weebly.com/uploads/1/3/2/8/132868807/f0f1126bd3a7d6652fa1f9204f44007-orig.jpg	(from https://smartmatertech.weebly.com/)
